,Feature,Importance
0,Q92823,0.055343047
1,P13521,0.042810794
2,P08571,0.036593378
3,P10645,0.032531187
4,Q6UXD5,0.03198485
5,Q16610,0.025164858
6,P01042,0.024309667
7,P23083,0.022000445
8,Q13451,0.021931
9,P49908,0.020248339
10,P43652,0.020148207
11,P02748,0.018435255
12,P36222,0.01840456
13,P98160,0.01800285
14,Q9NQ79,0.017063772
15,P43121,0.016884383
16,P10643,0.01662245
17,Q16270,0.015740454
18,Q96KN2,0.015346553
19,P61626,0.014884805
20,Q06481,0.014793482
21,P01859,0.014382536
22,P08493,0.014234237
23,Q9UBX5,0.013723175
24,P07339,0.013680093
25,P31997,0.013288942
26,P08123,0.012824473
27,Q08380,0.01262275
28,P01033,0.01234119
29,P08294,0.012023725
30,P14618,0.011495644
31,Q9NYU2,0.0109537635
32,P01877,0.010923105
33,P01876,0.0108761545
34,Q96S96,0.010815841
35,P13473,0.010778921
36,P05060,0.010589184
37,P02747,0.010495651
38,P02760,0.0104198055
39,Q9Y6R7,0.010129778
40,P51884,0.010116806
41,P01594,0.009952863
42,P01780,0.008837808
43,P01011,0.008783019
44,Q14624,0.0085757235
45,Q6UXB8,0.008521151
46,P02675,0.008026515
47,P04196,0.008013238
48,P11142,0.007767012
49,P41222,0.0077342745
50,P36955,0.00771639
51,Q14118,0.0075947284
52,P80748,0.0074537625
53,P02655,0.007421728
54,P17936,0.007410823
55,P25311,0.0071711745
56,P02671,0.0071152863
57,P01019,0.007024251
58,P01009,0.0069028
59,P10909,0.00681647
60,P14314,0.006773515
61,Q99674,0.006748814
62,P61278,0.006655264
63,Q12841,0.0065097543
64,P02774,0.006138609
65,P00738,0.005698269
66,P01621,0.005467754
67,Q562R1,0.005458785
68,P07858,0.0054342733
69,P08603,0.0048284316
70,Q99969,0.0046680537
71,P05155,0.004508675
72,P02750,0.0044135205
73,P00747,0.0042956946
74,P55290,0.0037888817
75,P06454,0.0037659917
76,P08133,0.0035490843
77,P43251,0.0033792162
78,P60174,0.0032953334
79,P12109,0.003174523
80,P04207,0.0030437002
81,P05067,0.002834623
82,O75144,0.0023623998
83,P02792,0.001987186
84,P02649,0.0018810369
85,O15240,0.0017793003
86,P01861,0.0013879874
87,P17174,0.0013722571
