,Feature,Importance
0,Q92876,0.05498188
1,P16070,0.037661497
2,P01780,0.036744274
3,P08571,0.035314005
4,Q6UXB8,0.034246
5,P05408,0.028896648
6,P02749,0.023737308
7,P02763,0.023213424
8,P05155,0.022695463
9,P23083,0.020815678
10,P07333,0.020739071
11,P01344,0.020632386
12,P10645,0.019640239
13,P55290,0.017068626
14,P01023,0.016713636
15,P04217,0.01643961
16,P14174,0.016054142
17,Q96PD5,0.015232659
18,P20774,0.013830403
19,P01621,0.012903497
20,P39060,0.012676053
21,P04156,0.011794694
22,P04207,0.011576868
23,Q16610,0.011415024
24,P02656,0.011390498
25,Q06481,0.010861739
26,P00736,0.010384977
27,Q8IWV7,0.010364644
28,P19823,0.010180986
29,P04211,0.009934807
30,P01857,0.009204271
31,Q9NYU2,0.009036113
32,P41222,0.008975152
33,Q8NE71,0.008935176
34,P13671,0.008781951
35,P04196,0.0087159425
36,Q8NBJ4,0.007659124
37,P19652,0.0075202803
38,P25311,0.0074717286
39,P02655,0.007420442
40,Q12841,0.007103381
41,P16152,0.0070484052
42,P08603,0.006851868
43,P01877,0.0064871954
44,Q13451,0.006125856
45,P43251,0.0060969796
46,P01608,0.0059529045
47,Q562R1,0.0058340942
48,P10909,0.00581267
49,P01009,0.0057644057
50,P01031,0.0054502585
51,P13611,0.0053293183
52,P08493,0.0049353777
53,P61626,0.0048617395
54,Q9UBX5,0.0047998163
55,P31997,0.0047933627
56,P04433,0.004733629
57,P06454,0.004607407
58,P02787,0.0045840493
59,P14618,0.0043847817
60,O15394,0.004381718
61,Q96BZ4,0.0043535824
62,P02766,0.0043375553
63,P04216,0.0042168023
64,Q9Y6R7,0.004173403
65,O94919,0.0041492605
66,P49588,0.003995904
67,Q99829,0.0038643498
68,P20933,0.0038473802
69,P05452,0.003663754
70,P09486,0.0034454304
71,P10643,0.0034369966
72,P00734,0.0033392154
73,Q16270,0.0033276677
74,Q15904,0.0031416607
75,P09104,0.003051116
76,P19021,0.003034584
77,O75144,0.003015382
78,O00584,0.0030108213
79,P01861,0.0029485757
80,P61278,0.00294851
81,P02774,0.0029415912
82,P05156,0.0029288782
83,P02649,0.0028724049
84,Q8N2S1,0.0027554277
85,P02747,0.0027262866
86,P06681,0.0026977987
87,P02760,0.0026701174
88,Q13283,0.0026183259
89,Q14624,0.0025606293
90,P00450,0.0025256737
91,P07858,0.0024714184
92,Q6UXD5,0.00242328
93,P06310,0.0024200073
94,P14314,0.0023944546
95,Q9UKV8,0.002353744
96,P08253,0.002337871
97,P08133,0.0023133552
98,P00738,0.0021908344
99,P02792,0.0021816434
100,O14498,0.0021782718
101,O15240,0.0021528706
102,P01876,0.0021427574
103,P02790,0.0021116
104,P00751,0.0021015287
105,P98160,0.0020918506
106,Q02818,0.0020813313
107,P01717,0.0020402733
108,O14791,0.0019250717
109,P02679,0.0017957457
110,Q14508,0.001793142
111,P18065,0.0017250648
112,Q13740,0.001722833
113,P04180,0.0016386405
114,P07225,0.0016372465
115,P19827,0.0015774004
116,P01033,0.0015632303
117,P04075,0.0015356733
118,Q13449,0.0015329747
119,P07998,0.0015194084
120,Q9UNU6,0.0015058727
121,O14773,0.0014912197
122,O00533,0.0014709105
123,P00748,0.0014701344
124,P02748,0.0012992201
125,P01011,0.0012384703
126,Q9Y646,0.0011813209
127,Q9NQ79,0.0011387285
128,Q96S96,0.0011078743
129,O43505,0.0010672138
130,P02750,0.0010595894
131,P49908,0.0010140635
132,P01019,0.0010055566
133,P61769,0.0009986382
134,P16035,0.0009980055
135,P02753,0.00094407477
136,P01591,0.00094324735
137,Q9UBR2,0.0008869266
138,Q7Z5P9,0.00088628364
139,Q99832,0.00084553164
140,P08697,0.0008349567
141,P01034,0.00081349094
142,Q6UX71,0.00077288906
143,P04275,0.00077030767
144,P80748,0.0007552507
145,P02765,0.00074649905
146,Q99683,0.00068294705
147,Q13332,0.000668085
148,P51884,0.00066358433
149,P02647,0.00065676536
150,P24592,0.0006363595
151,P05546,0.00058341684
152,P01860,0.0005745139
153,P27169,0.0005573949
154,Q99435,0.00054722605
155,P17174,0.00053123705
156,P06396,0.0005268743
157,P00747,0.00051329174
158,P07711,0.00051257433
159,P02652,0.0004961959
160,P02768,0.0004757693
161,P01833,0.00047451816
162,P00441,0.000463239
163,P00746,0.0004630289
164,O00391,0.00041459655
